hedId	rdfs:label	Level	omn:SubClassOf	Attributes	dc:description	omn:EquivalentTo
HED_0012145	Hypsarrhythmia-classic-morphology-#	3	Hypsarrhythmia-classic-morphology	takesValue, valueClass=textClass	Free text.	"Hypsarrhythmia-classic-morphology and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012146	Hypsarrhythmia-modified-morphology	2	Signal-morphology-property			
HED_0012147	Hypsarrhythmia-modified-morphology-#	3	Hypsarrhythmia-modified-morphology	takesValue, valueClass=textClass	Free text.	"Hypsarrhythmia-modified-morphology and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012148	Fast-spike-activity-morphology	2	Signal-morphology-property		A burst consisting of a sequence of spikes. Duration greater than 1 s. Frequency at least in the alpha range.	
HED_0012149	Fast-spike-activity-morphology-#	3	Fast-spike-activity-morphology	takesValue, valueClass=textClass	Free text.	"Fast-spike-activity-morphology and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012150	Low-voltage-fast-activity-morphology	2	Signal-morphology-property		Refers to the fast, and often recruiting activity which can be recorded at the onset of an ictal discharge, particularly in invasive EEG recording of a seizure.	
HED_0012151	Low-voltage-fast-activity-morphology-#	3	Low-voltage-fast-activity-morphology	takesValue, valueClass=textClass	Free text.	"Low-voltage-fast-activity-morphology and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012152	Polysharp-waves-morphology	2	Signal-morphology-property		A sequence of two or more sharp-waves.	
HED_0012153	Polysharp-waves-morphology-#	3	Polysharp-waves-morphology	takesValue, valueClass=textClass	Free text.	"Polysharp-waves-morphology and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012154	Slow-wave-large-amplitude-morphology	2	Signal-morphology-property			
HED_0012155	Slow-wave-large-amplitude-morphology-#	3	Slow-wave-large-amplitude-morphology	takesValue, valueClass=textClass	Free text.	"Slow-wave-large-amplitude-morphology and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012156	Irregular-delta-or-theta-activity-morphology	2	Signal-morphology-property		EEG activity consisting of repetitive waves of inconsistent wave-duration but in delta and/or theta rang (greater than 125 ms).	
HED_0012157	Irregular-delta-or-theta-activity-morphology-#	3	Irregular-delta-or-theta-activity-morphology	takesValue, valueClass=textClass	Free text.	"Irregular-delta-or-theta-activity-morphology and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012158	Electrodecremental-change-morphology	2	Signal-morphology-property		Sudden desynchronization of electrical activity.	
HED_0012159	Electrodecremental-change-morphology-#	3	Electrodecremental-change-morphology	takesValue, valueClass=textClass	Free text.	"Electrodecremental-change-morphology and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012160	DC-shift-morphology	2	Signal-morphology-property		Shift of negative polarity of the direct current recordings, during seizures.	
HED_0012161	DC-shift-morphology-#	3	DC-shift-morphology	takesValue, valueClass=textClass	Free text.	"DC-shift-morphology and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012162	Disappearance-of-ongoing-activity-morphology	2	Signal-morphology-property		Disappearance of the EEG activity that preceded the ictal event but still remnants of background activity (thus not enough to name it electrodecremental change).	
HED_0012163	Disappearance-of-ongoing-activity-morphology-#	3	Disappearance-of-ongoing-activity-morphology	takesValue, valueClass=textClass	Free text.	"Disappearance-of-ongoing-activity-morphology and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012164	Polymorphic-delta-activity-morphology	2	Signal-morphology-property		EEG activity consisting of waves in the delta range (over 250 ms duration for each wave) but of different morphology.	
HED_0012165	Polymorphic-delta-activity-morphology-#	3	Polymorphic-delta-activity-morphology	takesValue, valueClass=textClass	Free text.	"Polymorphic-delta-activity-morphology and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012166	Frontal-intermittent-rhythmic-delta-activity-morphology	2	Signal-morphology-property		Frontal intermittent rhythmic delta activity (FIRDA). Fairly regular or approximately sinusoidal waves, mostly occurring in bursts at 1.5-2.5 Hz over the frontal areas of one or both sides of the head. Comment: most commonly associated with unspecified encephalopathy, in adults.	
HED_0012167	Frontal-intermittent-rhythmic-delta-activity-morphology-#	3	Frontal-intermittent-rhythmic-delta-activity-morphology	takesValue, valueClass=textClass	Free text.	"Frontal-intermittent-rhythmic-delta-activity-morphology and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012168	Occipital-intermittent-rhythmic-delta-activity-morphology	2	Signal-morphology-property		Occipital intermittent rhythmic delta activity (OIRDA). Fairly regular or approximately sinusoidal waves, mostly occurring in bursts at 2-3 Hz over the occipital or posterior head regions of one or both sides of the head. Frequently blocked or attenuated by opening the eyes. Comment: most commonly associated with unspecified encephalopathy, in children.	
HED_0012169	Occipital-intermittent-rhythmic-delta-activity-morphology-#	3	Occipital-intermittent-rhythmic-delta-activity-morphology	takesValue, valueClass=textClass	Free text.	"Occipital-intermittent-rhythmic-delta-activity-morphology and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012170	Temporal-intermittent-rhythmic-delta-activity-morphology	2	Signal-morphology-property		Temporal intermittent rhythmic delta activity (TIRDA). Fairly regular or approximately sinusoidal waves, mostly occurring in bursts at over the temporal areas of one side of the head. Comment: most commonly associated with temporal lobe epilepsy.	
HED_0012171	Temporal-intermittent-rhythmic-delta-activity-morphology-#	3	Temporal-intermittent-rhythmic-delta-activity-morphology	takesValue, valueClass=textClass	Free text.	"Temporal-intermittent-rhythmic-delta-activity-morphology and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012172	Periodic-discharge-morphology	2	Signal-morphology-property		Periodic discharges not further specified (PDs).	
HED_0012173	Periodic-discharge-superimposed-activity	3	Periodic-discharge-morphology	suggestedTag=Property-not-possible-to-determine		"Periodic-discharge-morphology and (suggestedTag value ""Property-not-possible-to-determine"")"
HED_0012174	Periodic-discharge-fast-superimposed-activity	4	Periodic-discharge-superimposed-activity	suggestedTag=Finding-frequency		"Periodic-discharge-superimposed-activity and (suggestedTag value ""Finding-frequency"")"
HED_0012175	Periodic-discharge-fast-superimposed-activity-#	5	Periodic-discharge-fast-superimposed-activity	takesValue, valueClass=textClass	Free text.	"Periodic-discharge-fast-superimposed-activity and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012176	Periodic-discharge-rhythmic-superimposed-activity	4	Periodic-discharge-superimposed-activity	suggestedTag=Finding-frequency		"Periodic-discharge-superimposed-activity and (suggestedTag value ""Finding-frequency"")"
HED_0012177	Periodic-discharge-rhythmic-superimposed-activity-#	5	Periodic-discharge-rhythmic-superimposed-activity	takesValue, valueClass=textClass	Free text.	"Periodic-discharge-rhythmic-superimposed-activity and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012178	Periodic-discharge-sharpness	3	Periodic-discharge-morphology	suggestedTag=Property-not-possible-to-determine		"Periodic-discharge-morphology and (suggestedTag value ""Property-not-possible-to-determine"")"
HED_0012179	Spiky-periodic-discharge-sharpness	4	Periodic-discharge-sharpness			
HED_0012180	Spiky-periodic-discharge-sharpness-#	5	Spiky-periodic-discharge-sharpness	takesValue, valueClass=textClass	Free text.	"Spiky-periodic-discharge-sharpness and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012181	Sharp-periodic-discharge-sharpness	4	Periodic-discharge-sharpness			
HED_0012182	Sharp-periodic-discharge-sharpness-#	5	Sharp-periodic-discharge-sharpness	takesValue, valueClass=textClass	Free text.	"Sharp-periodic-discharge-sharpness and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012183	Sharply-contoured-periodic-discharge-sharpness	4	Periodic-discharge-sharpness			
HED_0012184	Sharply-contoured-periodic-discharge-sharpness-#	5	Sharply-contoured-periodic-discharge-sharpness	takesValue, valueClass=textClass	Free text.	"Sharply-contoured-periodic-discharge-sharpness and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012185	Blunt-periodic-discharge-sharpness	4	Periodic-discharge-sharpness			
HED_0012186	Blunt-periodic-discharge-sharpness-#	5	Blunt-periodic-discharge-sharpness	takesValue, valueClass=textClass	Free text.	"Blunt-periodic-discharge-sharpness and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012187	Number-of-periodic-discharge-phases	3	Periodic-discharge-morphology	suggestedTag=Property-not-possible-to-determine		"Periodic-discharge-morphology and (suggestedTag value ""Property-not-possible-to-determine"")"
HED_0012188	1-periodic-discharge-phase	4	Number-of-periodic-discharge-phases			
HED_0012189	1-periodic-discharge-phase-#	5	1-periodic-discharge-phase	takesValue, valueClass=textClass	Free text.	"1-periodic-discharge-phase and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012190	2-periodic-discharge-phases	4	Number-of-periodic-discharge-phases			
HED_0012191	2-periodic-discharge-phases-#	5	2-periodic-discharge-phases	takesValue, valueClass=textClass	Free text.	"2-periodic-discharge-phases and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012192	3-periodic-discharge-phases	4	Number-of-periodic-discharge-phases			
HED_0012193	3-periodic-discharge-phases-#	5	3-periodic-discharge-phases	takesValue, valueClass=textClass	Free text.	"3-periodic-discharge-phases and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012194	Greater-than-3-periodic-discharge-phases	4	Number-of-periodic-discharge-phases			
HED_0012195	Greater-than-3-periodic-discharge-phases-#	5	Greater-than-3-periodic-discharge-phases	takesValue, valueClass=textClass	Free text.	"Greater-than-3-periodic-discharge-phases and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012196	Periodic-discharge-triphasic-morphology	3	Periodic-discharge-morphology	suggestedTag=Property-not-possible-to-determine, suggestedTag=Property-exists, suggestedTag=Property-absence		"Periodic-discharge-morphology and (suggestedTag value ""Property-not-possible-to-determine"") and (suggestedTag value ""Property-exists"") and (suggestedTag value ""Property-absence"")"
HED_0012197	Periodic-discharge-triphasic-morphology-#	4	Periodic-discharge-triphasic-morphology	takesValue, valueClass=textClass	Free text.	"Periodic-discharge-triphasic-morphology and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012198	Periodic-discharge-absolute-amplitude	3	Periodic-discharge-morphology	suggestedTag=Property-not-possible-to-determine		"Periodic-discharge-morphology and (suggestedTag value ""Property-not-possible-to-determine"")"
HED_0012199	Periodic-discharge-absolute-amplitude-very-low	4	Periodic-discharge-absolute-amplitude		Lower than 20 microV.	
HED_0012200	Periodic-discharge-absolute-amplitude-very-low-#	5	Periodic-discharge-absolute-amplitude-very-low	takesValue, valueClass=textClass	Free text.	"Periodic-discharge-absolute-amplitude-very-low and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012201	Low-periodic-discharge-absolute-amplitude	4	Periodic-discharge-absolute-amplitude		20 to 49 microV.	
HED_0012202	Low-periodic-discharge-absolute-amplitude-#	5	Low-periodic-discharge-absolute-amplitude	takesValue, valueClass=textClass	Free text.	"Low-periodic-discharge-absolute-amplitude and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012203	Medium-periodic-discharge-absolute-amplitude	4	Periodic-discharge-absolute-amplitude		50 to 199 microV.	
HED_0012204	Medium-periodic-discharge-absolute-amplitude-#	5	Medium-periodic-discharge-absolute-amplitude	takesValue, valueClass=textClass	Free text.	"Medium-periodic-discharge-absolute-amplitude and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012205	High-periodic-discharge-absolute-amplitude	4	Periodic-discharge-absolute-amplitude		Greater than 200 microV.	
HED_0012206	High-periodic-discharge-absolute-amplitude-#	5	High-periodic-discharge-absolute-amplitude	takesValue, valueClass=textClass	Free text.	"High-periodic-discharge-absolute-amplitude and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012207	Periodic-discharge-relative-amplitude	3	Periodic-discharge-morphology	suggestedTag=Property-not-possible-to-determine		"Periodic-discharge-morphology and (suggestedTag value ""Property-not-possible-to-determine"")"
HED_0012208	Periodic-discharge-relative-amplitude-less-than-equal-2	4	Periodic-discharge-relative-amplitude			
HED_0012209	Periodic-discharge-relative-amplitude-less-than-equal-2-#	5	Periodic-discharge-relative-amplitude-less-than-equal-2	takesValue, valueClass=textClass	Free text.	"Periodic-discharge-relative-amplitude-less-than-equal-2 and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012210	Periodic-discharge-relative-amplitude-greater-than-2	4	Periodic-discharge-relative-amplitude			
HED_0012211	Periodic-discharge-relative-amplitude-greater-than-2-#	5	Periodic-discharge-relative-amplitude-greater-than-2	takesValue, valueClass=textClass	Free text.	"Periodic-discharge-relative-amplitude-greater-than-2 and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012212	Periodic-discharge-polarity	3	Periodic-discharge-morphology			
HED_0012213	Periodic-discharge-postitive-polarity	4	Periodic-discharge-polarity			
HED_0012214	Periodic-discharge-postitive-polarity-#	5	Periodic-discharge-postitive-polarity	takesValue, valueClass=textClass	Free text.	"Periodic-discharge-postitive-polarity and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012215	Periodic-discharge-negative-polarity	4	Periodic-discharge-polarity			
HED_0012216	Periodic-discharge-negative-polarity-#	5	Periodic-discharge-negative-polarity	takesValue, valueClass=textClass	Free text.	"Periodic-discharge-negative-polarity and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012217	Periodic-discharge-unclear-polarity	4	Periodic-discharge-polarity			
HED_0012218	Periodic-discharge-unclear-polarity-#	5	Periodic-discharge-unclear-polarity	takesValue, valueClass=textClass	Free text.	"Periodic-discharge-unclear-polarity and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012219	Source-analysis-property	1	Finding-property		How the current in the brain reaches the electrode sensors.	
HED_0012220	Source-analysis-laterality	2	Source-analysis-property	suggestedTag=Brain-laterality		"Source-analysis-property and (suggestedTag value ""Brain-laterality"")"
HED_0012221	Source-analysis-brain-region	2	Source-analysis-property			
HED_0012222	Source-analysis-frontal-perisylvian-superior-surface	3	Source-analysis-brain-region			
HED_0012223	Source-analysis-frontal-lateral	3	Source-analysis-brain-region			
HED_0012224	Source-analysis-frontal-mesial	3	Source-analysis-brain-region			
HED_0012225	Source-analysis-frontal-polar	3	Source-analysis-brain-region			
HED_0012226	Source-analysis-frontal-orbitofrontal	3	Source-analysis-brain-region			
HED_0012227	Source-analysis-temporal-polar	3	Source-analysis-brain-region			
HED_0012228	Source-analysis-temporal-basal	3	Source-analysis-brain-region			
HED_0012229	Source-analysis-temporal-lateral-anterior	3	Source-analysis-brain-region			
HED_0012230	Source-analysis-temporal-lateral-posterior	3	Source-analysis-brain-region			
HED_0012231	Source-analysis-temporal-perisylvian-inferior-surface	3	Source-analysis-brain-region			
HED_0012232	Source-analysis-central-lateral-convexity	3	Source-analysis-brain-region			
HED_0012233	Source-analysis-central-mesial	3	Source-analysis-brain-region			
HED_0012234	Source-analysis-central-sulcus-anterior-surface	3	Source-analysis-brain-region			
HED_0012235	Source-analysis-central-sulcus-posterior-surface	3	Source-analysis-brain-region			
HED_0012236	Source-analysis-central-opercular	3	Source-analysis-brain-region			
HED_0012237	Source-analysis-parietal-lateral-convexity	3	Source-analysis-brain-region			
HED_0012238	Source-analysis-parietal-mesial	3	Source-analysis-brain-region			
HED_0012239	Source-analysis-parietal-opercular	3	Source-analysis-brain-region			
HED_0012240	Source-analysis-occipital-lateral	3	Source-analysis-brain-region			
HED_0012241	Source-analysis-occipital-mesial	3	Source-analysis-brain-region			
HED_0012242	Source-analysis-occipital-basal	3	Source-analysis-brain-region			
HED_0012243	Source-analysis-insula	3	Source-analysis-brain-region			
HED_0012244	Location-property	1	Finding-property		Location can be scored for findings. Semiologic finding can also be characterized by the somatotopic modifier (i.e. the part of the body where it occurs). In this respect, laterality (left, right, symmetric, asymmetric, left greater than right, right greater than left), body part (eyelid, face, arm, leg, trunk, visceral, hemi-) and centricity (axial, proximal limb, distal limb) can be scored.	
HED_0012245	Brain-laterality	2	Location-property		Brain laterality denote the lateralization of the finding observed.	
HED_0012246	Brain-laterality-left	3	Brain-laterality		Finding primarily involving the left hemisphere of the brain.	
HED_0012247	Brain-laterality-left-#	4	Brain-laterality-left	takesValue, valueClass=textClass	Free text.	"Brain-laterality-left and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012248	Brain-laterality-left-greater-right	3	Brain-laterality		The left hemisphere exhibits greater activity or significance compared to the right hemisphere.	
HED_0012249	Brain-laterality-left-greater-right-#	4	Brain-laterality-left-greater-right	takesValue, valueClass=textClass	Free text.	"Brain-laterality-left-greater-right and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012250	Brain-laterality-right	3	Brain-laterality		Finding primarily involving the right hemisphere of the brain.	
HED_0012251	Brain-laterality-right-#	4	Brain-laterality-right	takesValue, valueClass=textClass	Free text.	"Brain-laterality-right and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012252	Brain-laterality-right-greater-left	3	Brain-laterality		The right hemisphere exhibits greater activity or significance compared to the left hemisphere.	
HED_0012253	Brain-laterality-right-greater-left-#	4	Brain-laterality-right-greater-left	takesValue, valueClass=textClass	Free text.	"Brain-laterality-right-greater-left and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012254	Brain-laterality-midline	3	Brain-laterality		Finding located at or near the midline, involving both hemispheres equally or nearly equally.	
HED_0012255	Brain-laterality-midline-#	4	Brain-laterality-midline	takesValue, valueClass=textClass	Free text.	"Brain-laterality-midline and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012256	Brain-laterality-diffuse-asynchronous	3	Brain-laterality		Finding characterized by widespread or asynchronous activity across both hemispheres.	
HED_0012257	Brain-laterality-diffuse-asynchronous-#	4	Brain-laterality-diffuse-asynchronous	takesValue, valueClass=textClass	Free text.	"Brain-laterality-diffuse-asynchronous and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012258	Brain-region	2	Location-property			
HED_0012259	Brain-region-frontal	3	Brain-region			
HED_0012260	Brain-region-frontal-#	4	Brain-region-frontal	takesValue, valueClass=textClass	Free text.	"Brain-region-frontal and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012261	Brain-region-temporal	3	Brain-region			
HED_0012262	Brain-region-temporal-#	4	Brain-region-temporal	takesValue, valueClass=textClass	Free text.	"Brain-region-temporal and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012263	Brain-region-central	3	Brain-region			
HED_0012264	Brain-region-central-#	4	Brain-region-central	takesValue, valueClass=textClass	Free text.	"Brain-region-central and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012265	Brain-region-parietal	3	Brain-region			
HED_0012266	Brain-region-parietal-#	4	Brain-region-parietal	takesValue, valueClass=textClass	Free text.	"Brain-region-parietal and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012267	Brain-region-occipital	3	Brain-region			
HED_0012268	Brain-region-occipital-#	4	Brain-region-occipital	takesValue, valueClass=textClass	Free text.	"Brain-region-occipital and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012269	Body-part-location	2	Location-property		Refers to area involved (i.e., arm, leg, face, trunk, and other).	
HED_0012270	Eyelid-location	3	Body-part-location			
HED_0012271	Eyelid-location-#	4	Eyelid-location	takesValue, valueClass=textClass	Free text.	"Eyelid-location and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012272	Face-location	3	Body-part-location			
HED_0012273	Face-location-#	4	Face-location	takesValue, valueClass=textClass	Free text.	"Face-location and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012274	Arm-location	3	Body-part-location			
HED_0012275	Arm-location-#	4	Arm-location	takesValue, valueClass=textClass	Free text.	"Arm-location and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012276	Leg-location	3	Body-part-location			
HED_0012277	Leg-location-#	4	Leg-location	takesValue, valueClass=textClass	Free text.	"Leg-location and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012278	Trunk-location	3	Body-part-location			
HED_0012279	Trunk-location-#	4	Trunk-location	takesValue, valueClass=textClass	Free text.	"Trunk-location and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012280	Visceral-location	3	Body-part-location			
HED_0012281	Visceral-location-#	4	Visceral-location	takesValue, valueClass=textClass	Free text.	"Visceral-location and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012282	Hemi-location	3	Body-part-location			
HED_0012283	Hemi-location-#	4	Hemi-location	takesValue, valueClass=textClass	Free text.	"Hemi-location and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012284	Brain-centricity	2	Location-property		Modifier describes proximity to the body axis.	
HED_0012285	Brain-centricity-axial	3	Brain-centricity		Involves trunk, including neck.	
HED_0012286	Brain-centricity-axial-#	4	Brain-centricity-axial	takesValue, valueClass=textClass	Free text.	"Brain-centricity-axial and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012287	Brain-centricity-proximal-limb	3	Brain-centricity		Signifies involvement from shoulders to wrist, hip to ankle.	
HED_0012288	Brain-centricity-proximal-limb-#	4	Brain-centricity-proximal-limb	takesValue, valueClass=textClass	Free text.	"Brain-centricity-proximal-limb and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012289	Brain-centricity-distal-limb	3	Brain-centricity		Indicates involvement of fingers, hands, toes, and/or feet.	
HED_0012290	Brain-centricity-distal-limb-#	4	Brain-centricity-distal-limb	takesValue, valueClass=textClass	Free text.	"Brain-centricity-distal-limb and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012291	Sensors	2	Location-property	requireChild	Lists all corresponding sensors (electrodes/channels in montage). The sensor-group is selected from a list defined in the site-settings for each EEG-lab.	Location-property and (requireChild value true)
HED_0012292	Sensors-#	3	Sensors	takesValue, valueClass=textClass	Free text.	"Sensors and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012293	Finding-propagation	2	Location-property	suggestedTag=Property-exists, suggestedTag=Property-absence, suggestedTag=Brain-laterality, suggestedTag=Brain-region, suggestedTag=Sensors	When propagation within the graphoelement is observed, first the location of the onset region is scored. Then, the location of the propagation can be noted.	"Location-property and (suggestedTag value ""Property-exists"") and (suggestedTag value ""Property-absence"") and (suggestedTag value ""Brain-laterality"") and (suggestedTag value ""Brain-region"") and (suggestedTag value ""Sensors"")"
HED_0012294	Finding-propagation-#	3	Finding-propagation	takesValue, valueClass=textClass	Free text.	"Finding-propagation and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012295	Multifocal-finding	2	Location-property	suggestedTag=Property-not-possible-to-determine, suggestedTag=Property-exists, suggestedTag=Property-absence	When the same interictal graphoelement is observed bilaterally and at least in three independent locations, can score them using one entry, and choosing multifocal as a descriptor of the locations of the given interictal graphoelements, optionally emphasizing the involved, and the most active sites.	"Location-property and (suggestedTag value ""Property-not-possible-to-determine"") and (suggestedTag value ""Property-exists"") and (suggestedTag value ""Property-absence"")"
HED_0012296	Multifocal-finding-#	3	Multifocal-finding	takesValue, valueClass=textClass	Free text.	"Multifocal-finding and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012297	Modulators-property	1	Finding-property		For each described graphoelement, the influence of the modulators can be scored. Only modulators present in the recording are scored.	
HED_0012298	Modulators-reactivity	2	Modulators-property	suggestedTag=Property-exists, suggestedTag=Property-absence	Susceptibility of individual rhythms or the EEG as a whole to change following sensory stimulation or other physiologic actions.	"Modulators-property and (suggestedTag value ""Property-exists"") and (suggestedTag value ""Property-absence"")"
HED_0012299	Modulators-reactivity-#	3	Modulators-reactivity	takesValue, valueClass=textClass	Free text.	"Modulators-reactivity and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012300	Eye-closure-sensitivity	2	Modulators-property	suggestedTag=Property-exists, suggestedTag=Property-absence	Eye closure sensitivity.	"Modulators-property and (suggestedTag value ""Property-exists"") and (suggestedTag value ""Property-absence"")"
HED_0012301	Eye-closure-sensitivity-#	3	Eye-closure-sensitivity	takesValue, valueClass=textClass	Free text.	"Eye-closure-sensitivity and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012302	Eye-opening-passive	2	Modulators-property	suggestedTag=Property-not-possible-to-determine, suggestedTag=Finding-stopped-by, suggestedTag=Finding-unmodified, suggestedTag=Finding-triggered-by, suggestedTag=Increasing, suggestedTag=Decreasing	Passive eye opening.	"Modulators-property and (suggestedTag value ""Property-not-possible-to-determine"") and (suggestedTag value ""Finding-stopped-by"") and (suggestedTag value ""Finding-unmodified"") and (suggestedTag value ""Finding-triggered-by"") and (suggestedTag value ""Increasing"") and (suggestedTag value ""Decreasing"")"
HED_0012303	Medication-effect-EEG	2	Modulators-property	suggestedTag=Property-not-possible-to-determine, suggestedTag=Finding-stopped-by, suggestedTag=Finding-unmodified, suggestedTag=Increasing, suggestedTag=Decreasing	Medications effect on EEG.	"Modulators-property and (suggestedTag value ""Property-not-possible-to-determine"") and (suggestedTag value ""Finding-stopped-by"") and (suggestedTag value ""Finding-unmodified"") and (suggestedTag value ""Increasing"") and (suggestedTag value ""Decreasing"")"
HED_0012304	Medication-reduction-effect-EEG	2	Modulators-property	suggestedTag=Property-not-possible-to-determine, suggestedTag=Finding-stopped-by, suggestedTag=Finding-unmodified, suggestedTag=Increasing, suggestedTag=Decreasing	Medications reduction or withdrawal effect on EEG.	"Modulators-property and (suggestedTag value ""Property-not-possible-to-determine"") and (suggestedTag value ""Finding-stopped-by"") and (suggestedTag value ""Finding-unmodified"") and (suggestedTag value ""Increasing"") and (suggestedTag value ""Decreasing"")"
HED_0012305	Auditive-stimuli-effect	2	Modulators-property	suggestedTag=Property-not-possible-to-determine, suggestedTag=Finding-stopped-by, suggestedTag=Finding-unmodified, suggestedTag=Increasing, suggestedTag=Decreasing		"Modulators-property and (suggestedTag value ""Property-not-possible-to-determine"") and (suggestedTag value ""Finding-stopped-by"") and (suggestedTag value ""Finding-unmodified"") and (suggestedTag value ""Increasing"") and (suggestedTag value ""Decreasing"")"
HED_0012306	Nociceptive-stimuli-effect	2	Modulators-property	suggestedTag=Property-not-possible-to-determine, suggestedTag=Finding-stopped-by, suggestedTag=Finding-unmodified, suggestedTag=Finding-triggered-by, suggestedTag=Increasing, suggestedTag=Decreasing		"Modulators-property and (suggestedTag value ""Property-not-possible-to-determine"") and (suggestedTag value ""Finding-stopped-by"") and (suggestedTag value ""Finding-unmodified"") and (suggestedTag value ""Finding-triggered-by"") and (suggestedTag value ""Increasing"") and (suggestedTag value ""Decreasing"")"
HED_0012307	Physical-effort-effect	2	Modulators-property	suggestedTag=Property-not-possible-to-determine, suggestedTag=Finding-stopped-by, suggestedTag=Finding-unmodified, suggestedTag=Finding-triggered-by, suggestedTag=Increasing, suggestedTag=Decreasing		"Modulators-property and (suggestedTag value ""Property-not-possible-to-determine"") and (suggestedTag value ""Finding-stopped-by"") and (suggestedTag value ""Finding-unmodified"") and (suggestedTag value ""Finding-triggered-by"") and (suggestedTag value ""Increasing"") and (suggestedTag value ""Decreasing"")"
HED_0012308	Cognitive-task-effect	2	Modulators-property	suggestedTag=Property-not-possible-to-determine, suggestedTag=Finding-stopped-by, suggestedTag=Finding-unmodified, suggestedTag=Finding-triggered-by, suggestedTag=Increasing, suggestedTag=Decreasing		"Modulators-property and (suggestedTag value ""Property-not-possible-to-determine"") and (suggestedTag value ""Finding-stopped-by"") and (suggestedTag value ""Finding-unmodified"") and (suggestedTag value ""Finding-triggered-by"") and (suggestedTag value ""Increasing"") and (suggestedTag value ""Decreasing"")"
HED_0012309	Other-modulators-effect-EEG	2	Modulators-property	requireChild		Modulators-property and (requireChild value true)
HED_0012310	Other-modulators-effect-EEG-#	3	Other-modulators-effect-EEG	takesValue, valueClass=textClass	Free text.	"Other-modulators-effect-EEG and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012311	Facilitating-factor	2	Modulators-property		Facilitating factors are defined as transient and sporadic endogenous or exogenous elements capable of augmenting seizure incidence (increasing the likelihood of seizure occurrence).	
HED_0012312	Facilitating-factor-alcohol	3	Facilitating-factor			
HED_0012313	Facilitating-factor-alcohol-#	4	Facilitating-factor-alcohol	takesValue, valueClass=textClass	Free text.	"Facilitating-factor-alcohol and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012314	Facilitating-factor-awake	3	Facilitating-factor			
